ch1_fase4: .word 9, 11
.byte 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 
1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
1, 11, 1, 11, 1, 11, 1, 11, 1, 11, 1, 
1, 3, 8, 0, 11, 11, 11, 0, 0, 0, 1, 
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 

ch1_fase4.scroll: .asciz "Amada,\n\nEstamos sem comida e agua.\nO Rei nao vai sobreviver por\nmuito mais tempo. \n\nTeremos que deixar os\nresultados das nossas\npesquisas aqui, inuteis.\nO que descobrimos nao eh\no suficiente.\n\nMe perdoe por te deixar.\n\nPressione ENTER para fechar."
