tags,PT_BR,EN_US,BOAT_
MENU_OPCAO1,1. JOGAR,1. PLAY,1. HOIST THE MIZZEN!
MENU_OPCAO2,2. CONFIGURACOES,2. SETTINGS,2. RIGGINS
MENU_OPCAO3,3. CREDITOS,3. CREDITS,3. DRUNKEN RAMBLING
MENU_OPCAO4,4. SAIR,4. EXIT,4. ABANDON SHIP
MENU_OPCAO9,9. Voltar,9. Return,9. BACK
JOGAR_TITULO,Selecione o capitulo:,Select chapter:,SELECT VOYAGE:
JOGAR_OPCAO0,0. Tutorial ,0. Tutorial ,0. TUTORIAL
JOGAR_OPCAO1,1. Capitulo 1 (inicio),1. Chapter 1 (beginning),1. BABYLON
JOGAR_OPCAO2,2. Capitulo 2 ,2. Chapter 2 ,2. ROME
JOGAR_OPCAO3,3. Capitulo 3 (em construcao),3. Chapter 3 (under construction),3. CHINA
JOGAR_OPCAO4,4. Capitulo 4 (em construcao),4. Chapter 4 (under construction),"4. NO SPOILERS, SCALLYWAG!"
JOGAR_OPCAO5,9. voltar,9. return,9. SCUTTLE
CREDITOS_1,Desenvolvimento e Programacao:,Coding and Development:,FINANCIAL SUPPORT:
CREDITOS_2,Arte e Design:,Art and Design:,RUM SUPPLIES:
CREDITOS_3,Agradecimentos Especiais: ,Special Thanks to:,SPECIAL THANKS TO:
CREDITOS_FERNANDO,Fernando A. M. Dias,Fernando A. M. Dias,Me captain
CREDITOS_AS11,"- Joialoxi, pelas nossas","- Joialoxi, for our",END OF LIST!
CREDITOS_AS12,deliberacoes que desatolaram,deliberations that got, 
CREDITOS_AS13,o jogo,the project off the ground, 
CREDITOS_AS21,"- Minha mae, que pacientemente","- My mom, who patiently","- The Spanish, for"
CREDITOS_AS22,assistiu eu mostrar como,watched me show her how,all the loot! Yohoho!
CREDITOS_AS23,tava a cada 2 dias,"this was, every two days",Aaaarrrrgggghhhh!
CREDITOS_AS31,"- Felipe Fontela, pelo apoio,","- Felipe Fontela, for the","- Me buckos, for"
CREDITOS_AS32,pelas conversas e pelas,"support, talks and for the",all the chases and
CREDITOS_AS33,ideias que deram caminho,ideas that paved the way,plunder
CREDITOS_AS34,ao projeto,for this project, 
CREDITOS_FIM1, <<< fim >>> , <<< end >>>,AVAST YE!
CREDITOS_FIM2, pode ir embora, you may leave now,SCURRY!
CREDITOS_FIM3,...........,..........., 
CREDITOS_FIM4,nao vai embora?,youre not leaving?, 
CREDITOS_FIM5,deve ter mais credito em algum lugar aqui...,there oughta be more credits sumwhere here..., 
CREDITOS_FIM6,Inspiracao: Bomberman para o NES,Inspiration: Bomberman for NES, 
CREDITOS_FIM7,Feito como projeto de,Created as a first semester project, 
CREDITOS_FIM0,primeiro semestre,of the component, 
CREDITOS_FIM8,do componente Introducao a Sistemas,Introducao a Sistemas, 
CREDITOS_FIM9,Computacionais na Universidade de,Computacionais in the University, 
CREDITOS_FIM10,Brasilia. 24/07/2025,of Brasilia. 2025/07/24, 
CREDITOS_FIM11,agora pode ir,now you may go, 
CREDITOS_FIM12,...era so isso mesmo. nao tem mais nada.,...that was really it. theres nothing left., 
CREDITOS_FIM13,<<< FIM >>>,<<< END >>>, 
CREDITOS_VOLTAR,Pressione 9 pra voltar ao menu principal,Press 9 to return to the main menu,PRESS 9 TO RETURN TO SHORE
CONFIG_VOLTAR,Pressione 9 pra voltar ao menu principal,Press 9 to return to the main menu,PRESS 9 TO RETURN TO SHORE
CONFIG_OPCAO_IDIOMA,1. Alterar idioma,1. Switch Language,1. PICK 'NOTHER LINGO
CONFIG_OPCAO_AUDIO,2. Configuracoes de audio,2. Audio settings,2. LOUDNESS OPTIONS
CONFIG_OPCAO_ADICIONAIS,3. Outras configuracoes,3. Other settings,3. OTHER STUFF
IDIOMA_PROMPT,Escolha o idioma:,Choose language:,CHOOSE CREW LINGO
IDIOMA_PT,1. Portugues (BR),1. Portugues (BR),1. Portugues (BR)
IDIOMA_EN,2. English (US),2. English (US),2. English (US)
AUDIO_TITULO,Configuracoes de audio,Audio settings,LOUDNESS OPTIONS
AUDIO_MUTAR_MUSICA,1. Mutar musica,1. Mute music,1. FIRE MUSICIAN
AUDIO_DESMUTAR_MUSICA,1. Desmutar musica,1. Unmute music,1. HIRE MUSICIAN
AUDIO_MUTAR_EXPLOSOES,2. Mutar explosoes,2. Mute explosions,2. MUFFLE CANNONS
AUDIO_DESMUTAR_EXPLOSOES,2. Desmutar explosoes,2. Unmute explosions,2. UNMUFFLE CANNONS
ADICIONAIS_TITULO,Outras configuracoes,Other settings,OTHER STUFF
ADICIONAIS_ATIVAR_GRAYSCALE,1. Ativar grayscale,1. Enable grayscale,1. ENABLE BLACK & WHITE
ADICIONAIS_DESATIVAR_GRAYSCALE,1. Desativar grayscale,1. Disable grayscale,1. DISABLE BLACK & WHITE
ADICIONAIS_ATIVAR_EFEITO_DE_EXPLOSAO,2. Ativar efeito de explosao,2. Enable explosion effect,2. ENABLE CANNON SHAKE
